step,base,shoulder,elbow,wrist,x,y,z
0,92,90,90,90,0.00373,-0.10693,0.09800
1,92,88,90,90,0.00366,-0.10485,0.10170
2,92,88,88,90,0.00372,-0.10639,0.10552
3,92,90,88,90,0.00379,-0.10861,0.10176
4,92,92,88,90,0.00387,-0.11070,0.09793
5,92,94,88,90,0.00393,-0.11265,0.09403
6,92,96,88,90,0.00400,-0.11447,0.09007
7,92,98,88,90,0.00406,-0.11615,0.08604
8,92,100,88,90,0.00411,-0.11768,0.08195
9,92,102,88,90,0.00416,-0.11907,0.07782
10,92,104,88,90,0.00420,-0.12032,0.07364
11,92,106,88,90,0.00424,-0.12142,0.06942
12,92,108,88,90,0.00427,-0.12237,0.06516
13,92,110,88,90,0.00430,-0.12318,0.06087
14,92,112,88,90,0.00432,-0.12383,0.05656
15,92,112,88,90,0.00432,-0.12383,0.05656
16,92,112,88,90,0.00432,-0.12383,0.05656
17,92,180,180,165,0.00172,-0.04927,0.05294
